Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-01 00:00:00-04:00,571.5,577.75,564.25,568.0,54164,0.0,0.0
2024-11-04 00:00:00-05:00,569.0,575.75,565.0,568.75,55475,0.0,0.0
2024-11-05 00:00:00-05:00,569.5,574.5,565.25,572.5,58641,0.0,0.0
2024-11-06 00:00:00-05:00,571.0,577.75,562.0,573.25,67945,0.0,0.0
2024-11-07 00:00:00-05:00,574.5,579.5,565.0,571.5,105864,0.0,0.0
2024-11-08 00:00:00-05:00,572.5,578.75,566.5,572.5,112145,0.0,0.0
2024-11-11 00:00:00-05:00,572.75,572.75,551.75,565.5,125709,0.0,0.0
2024-11-12 00:00:00-05:00,564.75,568.75,549.0,552.25,105727,0.0,0.0
2024-11-13 00:00:00-05:00,553.25,553.75,536.25,541.0,113238,0.0,0.0
2024-11-14 00:00:00-05:00,540.0,544.25,528.0,530.25,89913,0.0,0.0
2024-11-15 00:00:00-05:00,532.0,541.25,530.5,536.5,73593,0.0,0.0
2024-11-18 00:00:00-05:00,541.0,551.0,536.75,547.25,68144,0.0,0.0
2024-11-19 00:00:00-05:00,547.75,558.75,545.5,549.75,57490,0.0,0.0
2024-11-20 00:00:00-05:00,549.5,555.25,543.5,552.5,41277,0.0,0.0
2024-11-21 00:00:00-05:00,552.5,557.5,547.75,548.75,34966,0.0,0.0
2024-11-22 00:00:00-05:00,548.0,550.5,542.5,544.25,36559,0.0,0.0
2024-11-25 00:00:00-05:00,544.75,547.5,529.5,535.75,30009,0.0,0.0
2024-11-26 00:00:00-05:00,535.75,543.5,532.75,539.5,34123,0.0,0.0
2024-11-27 00:00:00-05:00,538.25,542.75,531.0,537.75,18864,0.0,0.0
2024-11-29 00:00:00-05:00,535.0,545.25,531.75,532.25,1246,0.0,0.0
2024-12-02 00:00:00-05:00,536.25,539.5,531.25,537.5,63,0.0,0.0
2024-12-03 00:00:00-05:00,539.0,544.75,536.75,536.75,47,0.0,0.0
2024-12-04 00:00:00-05:00,537.25,541.0,535.75,538.0,43,0.0,0.0
2024-12-05 00:00:00-05:00,537.5,546.75,535.5,546.75,22,0.0,0.0
2024-12-06 00:00:00-05:00,544.75,546.0,542.5,542.5,27,0.0,0.0
